Subgroups for Agitation and Retardation for Each Drug,Remission,,,,Difference,,,,Response,,,,
,No/Mild Remission,Partial Remission,Remission,Full Remission,Worst,No Change,Improvement,Big Improvement,No Response,Partial Response,Full Response,,
"Agitation Only, Duloxetine",5,11,86,89,16,4,138,33,20,63,108,,
"Agitation Only, Venlaxafine",0,4,18,1,0,1,21,1,1,14,8,,
"Agitation Only, Paroxetine",1,2,25,33,5,1,49,6,6,25,30,,
"Agitation Only, Fluoxine",0,3,7,4,5,0,9,0,5,5,4,,
"Retardation Only, Duloxetine",4,14,113,111,12,3,185,42,15,95,132,,
"Retardation Only, Venlaxafine",0,4,15,15,0,0,24,10,0,17,17,,
"Retardation Only, Paroxetine",1,1,24,63,1,1,78,9,2,28,59,,
"Retardation Only, Fluoxine",0,2,4,3,0,1,7,1,1,4,4,,
"Agitation and Retardation, Duloxetine",6,42,163,156,13,8,270,76,21,142,204,,
"Agitation and Retardation, Venlaxafine",2,6,36,28,2,1,49,20,3,29,40,,
"Agitation and Retardation, Paroxetine",4,12,67,62,9,5,114,17,14,60,71,,
"Agitation and Retardation, Fluoxine",1,1,9,5,2,0,9,5,2,7,7,,
"Neither Agitation nor Retardation, Duloxetine",2,6,40,73,19,8,89,5,27,35,59,,
"Neither Agitation nor Retardation, Venlaxafine",0,1,5,4,0,0,6,4,0,3,7,,
"Neither Agitation nor Retardation, Paroxetine",1,2,16,38,8,1,45,3,9,21,27,,
"Neither Agitation nor Retardation, Fluoxine",0,0,2,4,1,1,2,2,2,0,4,,
